"id","Metacritic_Score","Rank","Album_Name","Singer","Release_Date","Desciption","Release_Year","RYM_Rating","Genres","Language","Tracks","Colorscheme","RYM_Rank","Num_of_RYM_Ratings","avg_pop","max_pop","min_pop","med_pop","n"
431,72,432,"3 [>>>]","Beak>","2018-09-21","The third full-length release for the band that includes Portishead's Geoff Barrow, Billy Fuller and Will Young.",2018,3.29,"Experimental Rock, Electronic
Krautrock, Neo-Psychedelia, Post-Rock","English","['The Brazilian', 'Brean Down', 'Birthday Suit', 'Harvester', 'Allé sauvage', 'Teisco', 'King of the Castle', 'RSI', 'Abbots Leigh', 'When We Fall']","['#c0ab6c', '#b06546', '#989890', '#947e4d', '#736945']","#728 for 2018",839,19.6,26,18,18.5,10
432,72,433,"Tha Carter V","Lil Wayne","2018-09-28","The long-delayed full-length studio album for the rapper features guest appearances from Ashanti, Drake, French Montana, Kendrick Lamar, Mack Maine, Nicki Minaj, Post Malone, Travis Scott, Snoop Dogg, Sosamann, and XXXTentacion.",2018,3.06,"Southern Hip Hop, Trap, Pop Rap
Contemporary R&B, Hardcore Hip Hop, Chipmunk Soul","English","['I Love You Dwayne', ""Don't Cry"", 'Dedicate', 'Uproar', 'Let It Fly', ""Can't Be Broken"", 'Dark Side of the Moon', 'Mona Lisa', 'What About Me', 'Open Letter', 'Famous', 'Problems', 'Dope Niggaz', 'Hittas', 'Took His Time', 'Open Safe', 'Start This Shit Off Right', 'Demon', 'Mess', 'Dope New Gospel', 'Perfect Strangers', 'Used 2', 'Let It All Work Out']","['#7b7b7a', '#7a7a7a', '#960404', '#bfb4b3', '#843a31', '#ca9a9a', '#f7bab7', '#09447c']","#1,193 for 2018",4544,54.85,67,46,53,20
433,72,434,"Dove","Belly","2018-05-04","The third full-length release for the alternative rock band is its first in 23 years and was produced by the band's guitarist Tom Gorman and Paul Q. Kolderie.",2018,2.92,"Alternative Rock, Indie Rock
Dream Pop","English","['Mine', 'Shiny One', 'Human Child', 'Faceless', 'Suffer the Fools', 'Girl', 'Army of Clay', 'Stars Align', 'Quicksand', 'Artifact', 'Heartstrings', 'Starryeyed [hidden track]']","['#b79dc0', '#6791c1', '#4d6ca5', '#b798ac', '#4a4a90', '#cc854d', '#c2c2bc', '#aea0af', '#8a5c8d']","",199,NA,NA,NA,NA,NA
434,72,435,"All That Must Be","George FitzGerald","2018-03-09","The second full-length release for the British electronic producer features guest appearances from Lil Silva, Hudson Scott, Tracey Thorn.",2018,3.09,"Deep House","English","['Two Moons Under', 'Frieda', 'Burns', 'Roll Back', 'Siren Calls', 'Nobody but You', 'Outgrown', 'Half-Light (Night Version)', 'The Echo Forgets', 'Passing Trains']","['#8b8e93', '#fad23c', '#fbd33d', '#f9d13b', '#fcd43e', '#c4c58c', '#f5d03a', '#f6d13b', '#f8d03a', '#f7d23b']","#1,915 for 2018",172,14.9333333333333,50,5,12,15
435,72,436,"This Is Eggland","The Lovely Eggs","2018-02-23","The fifth full-length release for British psychedelic punk duo of Holly Ross and David Blackwell was produced by Dave Fridmann.",2018,3.07,"Indie Rock, Noise Pop
Punk Rock, Garage Rock","English","['Hello I Am Your Sun', 'Wiggy Giggy', 'Dickhead', ""I Shouldn't Have Said That"", 'Return of Witchcraft', ""I'm With You"", 'Repeat It', 'Witchcraft', 'Big Sea', 'Let Me Observe', 'Would You Fuck!']","['#493455', '#8c6836', '#d0600c', '#547a53', '#958298', '#8ea8a9', '#ccba9e', '#a6571f', '#5e8da1', '#957a7a']","",90,9.45454545454546,25,4,7,11
436,72,437,"Pissing Stars","Efrim Menuck","2018-02-02","The second full-length solo release for the Canadian artist who co-founded Godspeed You! Black Emperor and Thee Silver Mt. Zion is said to be inspired by the short relationship between TV host Mary Hart and Saudi arms dealer Mohammed Khashoggi.",2018,3.15,"Drone
Noise, Experimental Rock, Drone, Electronic","English","['Black Flags ov Thee Holy Sonne', 'The State and Its Love and Genocide', 'The Lion-Daggers of Calais', 'Kills v. Lies', 'Hart_Kashoggi', 'A Lamb in the Land of Payday Loans', 'LxOxVx / Shelter in Place', 'The Beauty of Children and the War Against the Poor', 'Pissing Stars']","['#7a7a7a', '#cccccc']","#1,060 for 2018",749,6.55555555555556,11,5,6,9
437,72,438,"One for the Ghost","Pete Astor","2018-02-16","The latest solo release for the British artist features contributions from James Hoare, Franic Rozycki, Jonny Helm and Pam Berry.",2018,3,"Singer-Songwriter","English","['Walker', 'Water Tower', 'One for the Ghost', 'Golden Boy', 'Injury Time', 'Magician and Assistant', 'Only Child', 'Tango Uniform', 'You Better Dream', 'Dear Fred']","['#a0a29e', '#a0a29f', '#902c44', '#c1c2bd']","",34,1.4,2,0,1.5,10
438,72,439,"Always Ascending","Franz Ferdinand","2018-02-09","The fifth full-length release for the Scottish indie rock band band was produced by Philippe Zdar of Cassius and is the first with Julian Corrie (who took over for Nick McCarthy).",2018,2.81,"Dance-Punk, New Wave, Indie Rock
Synthpop, Alternative Dance, Post-Punk Revival","English","['Always Ascending', 'Lazy Boy', 'Paper Cages', 'Finally', 'The Academy Award', 'Lois Lane', 'Huck and Jim', 'Glimpse of Love', 'Feel the Love Go', ""Slow Don't Kill Me Slow""]","['#7a7a7a', '#bb9290', '#5f0542', '#752558']","#1,681 for 2018",1806,32.1,41,26,31.5,10
439,72,440,"V.","Wooden Shjips","2018-05-25","The fifth full-length studio release for the psychedelic rock band was mixed by Cooper Crain.",2018,3.29,"Psychedelic Rock, Neo-Psychedelia, Space Rock Revival
Space Rock, Jam Band","English","['Eclipse', 'In the Fall', 'Red Line', 'Already Gone', 'Staring at the Sun', 'Golden Flower', 'Ride On']","['#a7c393', '#579ba4', '#d53324', '#845310', '#8d919a', '#9d9087']","#750 for 2018",470,32,45,24,31,7
440,72,441,"Mogic","Hen Ogledd","2018-11-16","The third full-length release for the British band that includes Richard Dawson, Rhodri Davies, Dawn Bothwell and Sally Pinklington.",2018,3.15,"Art Pop, Progressive Pop
Psychedelic Pop, Synthpop","English","['Love Time Feel', 'Sky Burial', 'Problem Child', 'First Date', 'Gwae Reged o Heddiw', 'Dyma Fy Robot', 'Tiny Witch Hunter', 'Transport & Travel', 'Welcome to Hell', 'Etheldreda']","['#91820b', '#457275', '#b09c17', '#cba923']","#1,108 for 2018",289,6.6,17,3,4,10
441,71,442,"Blood","Rhye","2018-02-02","This is the second full-length release for the electronic/alt-R&B project of Mike Milosh.",2018,3.14,"Sophisti-Pop, Smooth Soul, Alternative R&B
Art Pop","English","['Waste', 'Taste', 'Feel Your Weight', 'Please', 'Count to Five', 'Song for You', 'Blood Knows', 'Stay Safe', 'Phoenix', 'Softly', 'Sinful']","['#b3b4a9', '#c1c3b5', '#adafa1', '#515348', '#787a6d']","#1,059 for 2018",1183,37.2857142857143,65,25,33.5,14
442,71,443,"Islands","Ash","2018-05-18","The eighth full-length release for the Northern Ireland trio was produced by the band's frontman, Tim Wheeler.",2018,3.04,"Power Pop, Indie Rock","English","['True Story', 'Annabel', 'Buzzkill', 'Confessions in the Pool', 'All That I Have Left', ""Don't Need Your Love"", 'Somersault', 'Did Your Love Burn Out?', 'Silver Suit', ""It's a Trap"", 'Is It True?', 'Incoming Waves']","['#c6c7c3', '#7c7c7c', '#b4b5b0', '#676364', '#9a9c99']","",134,9.91666666666667,16,6,9.5,12
443,71,444,"Liberation","Christina Aguilera","2018-06-15","The first full-length for the pop singer since 2012's Lotus features guest appearances from 2 Chainz, GoldLink, Keida, Demi Lovato, Shenseea, Ty Dolla $ign, and XNDA.",2018,2.88,"Contemporary R&B, Pop Soul
Electropop, Alt-Pop","English","['Liberation', 'Searching for Maria', 'Maria', ""Sick of Sittin'"", 'Dreamers', 'Fall in Line', 'Right Moves', 'Like I Do', 'Deserve', 'Twice', ""I Don't Need It Anymore (Interlude)"", 'Accelerate', 'Pipe', 'Masochist', ""Unless It's with You""]","['#7a7a7a', '#cccccc']","#1,561 for 2018",669,33.7333333333333,49,1,33,15
444,71,445,"YSIV","Logic","2018-09-28","The fourth and final installment of the Maryland rapper's Young Sinatra series features guest appearances from Big Lenbo, Cappadonna, Ghostface Killah, Inspectah Deck, Jackpot Scotty Wotty, KAjo, John Lindahl, Masta Killa, Method Man, Raekwon, RZA, Lucy Rose & The RattPack, Slaydro, Jaden Smith, Hailee Steinfeld, Ryan Tedder, U-God, and Wale.",2018,2.45,"East Coast Hip Hop, Boom Bap
Conscious Hip Hop, Jazz Rap, Pop Rap, Trap, Boom Bap","English","['Thank You', 'Everybody Dies', 'The Return', 'The Glorious Five', 'One Day', 'Wu Tang Forever', '100 Miles and Running', 'Ordinary Day', 'YSIV', 'Street Dreams II', 'The Adventures of Stoney Bob', 'Legacy', 'ICONIC', 'Last Call']","['#888888', '#9d9d9d', '#7b7b7b', '#ababab', '#727272', '#b3b3b3', '#a5a5a5']","",2381,47.7857142857143,56,39,48,14
445,71,446,"Wrong Creatures","Black Rebel Motorcycle Club","2018-01-12","The eighth full-length studio release for the Los Angeles-based rock band was produced by Nick Launay.",2018,3.04,"Alternative Rock, Neo-Psychedelia
Psychedelic Rock, Indie Rock, Dream Pop, Shoegaze, Post-Punk","English","['DFF', 'Spook', 'King of Bones', 'Haunt', 'Echo', 'Ninth Configuration', 'Question of Faith', 'Calling Them All Away', 'Little Thing Gone Wild', 'Circus Bazooko', 'Carried From the Start', 'All Rise']","['#b8b3b0', '#cdb9a0', '#b0a090', '#988974']","#1,301 for 2018",662,19.1666666666667,31,11,18,12
446,71,447,"The Lillywhite Sessions","Ryley Walker","2018-11-16","The latest release for the Chicago singer-songwriter is a cover album of the Dave Matthews Band's unreleased (but bootlegged and some rerecorded for Busted Stuff) Lillywhite Sessions.",2018,3.51,"Jazz-Rock, Psychedelic Folk
Indie Rock, Art Rock, Avant-Garde Jazz","English","['Busted Stuff', 'Grey Street', ""Diggin' a Ditch"", 'Sweet Up and Down', 'JTR', 'Big Eyed Fish', 'Grace Is Gone', 'Captain', 'Bartender', 'Monkey Man', 'Kit Kat Jam', 'Raven']","['#c2c0b8', '#b7b7b7', '#a3a49f', '#888886', '#616161']","#1,741 for 2018",124,4.41666666666667,12,1,3.5,12
447,71,448,"The Magic Gang","The Magic Gang","2018-03-16","The debut full-length release for the British indie rock band was produced by Jolyon Thomas (James Dring and Hugo White also produced one track each).",2018,3.1,"Indie Rock, Power Pop
Garage Rock","English","['Oh, Saki', 'All This Way', 'Getting Along', 'Alright', 'Caroline', 'Jasmine', 'Take Care', ""Slippin'"", 'Your Love', 'How Can I Compete', ""I'll Show You"", 'All That I Want Is You', 'Fade Away', 'Getting Along (Acoustic)', 'All That I Want Is You (Acoustic)', 'Bruises']","['#959aa4', '#f6dd80', '#b99e5b', '#b0b0ba', '#7a7a7a', '#766e59']","",168,24.5,42,14,22.5,16
448,71,449,"Starcrawler","Starcrawler","2018-01-19","The debut full-length release for the Los Angeles rock band led by Arrow DeWilde was produced by Ryan Adams.",2018,2.76,"Hard Rock, Alternative Rock","English","['Train', ""Love's Gone Again"", 'I Love L.A.', 'Different Angles', 'Chicken Woman', 'Pussy Tower', 'Full of Pride', 'Let Her Be', 'Tears', 'What I Want']","['#b6b6b8', '#987965', '#b2a487', '#5e4946', '#ad9b83']","",216,22.3,35,15,22,10
449,71,450,"Dimensional People","Mouse on Mars","2018-04-13","The 11th full-length studio release for the German electronic duo features contributions from such artists as Sam Amidon, Amanda Blank, Eric D. Clarke, Zach Condon, Aaron and Bryce Dessner, Ensemble Musikfabrik, Lisa Hannigan, Spank Rock, Swamp Dogg, and Justin Vernon.",2018,3.06,"Electronic, Experimental
Footwork, Nu Jazz, Electroacoustic, Wonky, Glitch Pop","English","['Dimensional People Part I', 'Dimensional People Part II', 'Dimensional People Part III', 'Foul Mouth', 'Aviation', 'Parliament of Aliens Part I', 'Daylight', 'Tear to My Eye', 'Parliament of Aliens Part II', 'Parliament of Aliens Part III', 'Résumé', 'Sidney in a Cup']","['#a7a79d', '#c4c5bf', '#4d524e', '#82837d']","#1,256 for 2018",329,6.08333333333333,14,3,5,12
450,71,451,"Shape the Future","Nightmares on Wax","2018-01-26","The eighth full-length studio release for George Evelyn features guest appearances from Allan Kingdom, Andrew Ashong, LSK, Mozez, Jordan Rakei, Kuauhtli Vasquez, Sadie Walker, and Wixarika Tribe.",2018,2.85,"Downtempo
Hip Hop","English","['Back to Nature', 'Tell My Vision', 'Shape the Future', 'On It Maestro', 'Tomorrow', 'Typical', 'Tenor Fly', 'Citizen Kane', 'Deep Shadows', 'Gotta Smile', 'The Othership']","['#90918c', '#838381', '#d01116', '#c9c5ba', '#726c5e', '#aa886f', '#a21615']","",157,18.0909090909091,49,7,13,11
451,71,452,"Uncle, Duke & The Chief","Born Ruffians","2018-02-16","The fifth full-length release for the Canadian indie rock band was produced by Richard Swift.",2018,3.15,"Indie Rock, Indie Pop","English","['Forget Me', 'Miss You', 'Side Tracked', 'Fade to Black', 'Love Too Soon', 'Spread So Thin', 'Tricky', 'Ring That Bell', 'Working Together']","['#8f6f62', '#b7afa8', '#b1b6b0', '#6a4c32']","",153,20.1111111111111,37,10,17,9
452,71,453,"Vide Noir","Lord Huron","2018-04-20","The third full-length release for the Los Angeles-based indie band led by Ben Schneider (who also produced the album) was mixed by Dave Fridmann.",2018,3.29,"Indie Rock
Psychedelic Rock, Post-Punk Revival, Indie Folk","English","['Lost in Time and Space', 'Never Ever', 'Ancient Names, Pt. I', 'Ancient Names, Pt. II', 'Wait by the River', 'Secret of Life', 'Back From the Edge', ""The Balancer's Eye"", 'When the Night Is Over', 'Moonbeam', 'Vide noir', 'Emerald Star']","['#7a7a7a', '#a7c2a1', '#729f4c', '#74c43f']","#735 for 2018",404,46.0833333333333,59,39,45,12
453,71,454,"How to Solve Our Human Problems, Pts. 1-3","Belle and Sebastian","2018-02-16","The 15-track release for the Scottish indie pop group led by Stuart Murdoch was produced by Leo Abrahams. It collects the songs from three earlier EPs released in December, January and February into one full-length album.",2018,2.92,"Indie Pop
Twee Pop, Synthpop","English","['Sweet Dew Lee', 'We Were Beautiful', 'Fickle Season', ""The Girl Doesn't Get It"", 'Everything Is Now']","['#8b887a', '#654a2d', '#9a9182', '#997857']","#378 for 2017, #5,070 overall",438,19.0666666666667,31,14,18,15
454,71,455,"Jassbusters","Connan Mockasin","2018-10-12","The third full-length solo release for the New Zealand artist was recorded live and is a companion album to a film he wrote and directed.",2018,3.3,"Soft Rock
Psychedelic Soul, Psychedelic Pop, Bedroom Pop","English","[""Charlotte's Thong"", ""Momo's"", 'Last Night', 'You Can Do Anything', 'Con Conn Was Impatient', ""B'nD"", 'Sexy Man', 'Les Be Honest']","['#854b19', '#9a8580', '#7b7b7a', '#58403e']","#675 for 2018",892,34.25,42,25,36.5,8
455,71,456,"Sleepless","Immersion","2018-06-15","The latest full-length release for the Wire's Colin Newman and his wife Malka Spiegel features contributions from Holy Fuck's Matt Schulz as well as Gil Luz and Asi Weitz of Hexenschuss.",2018,3.2,"Krautrock, Ambient
Progressive Electronic, Ambient","","['Microclimate', 'Off Grid', 'MS19', 'Sleepless', 'Propulsoid', 'Hovertron', 'The Humming Sea', 'Manic Toys', 'Seeing Is Believing', 'Io']","['#a7b2ac', '#ae3941', '#684241', '#d04a51']","",36,0.6,2,0,0.5,10
456,71,457,"Electric Light","James Bay","2018-05-18","The second full-length release for the British singer-songwriter was co-produced by Paul Epworth and Jon Green.",2018,2.79,"Pop Rock
Synthpop, Contemporary R&B","","['Intro', 'Wasted on Each Other', 'Pink Lemonade', 'Wild Love', 'Us', 'In My Head', 'Interlude', 'Just for Tonight', 'Wanderlust', 'I Found You', 'Sugar Drunk High', 'Stand Up', 'Fade Out', 'Slide']","['#8b8b8b', '#606060', '#c6c6c6', '#7a7a7a']","",212,42.5714285714286,74,26,39,14
457,71,458,"Beautiful Thing","Alexis Taylor","2018-04-20","The latest full-length solo release for the Hot Chip co-founder was produced by Tim Goldsworthy.",2018,2.69,"Indietronica, Synthpop
Art Pop, Ambient Pop","English","['Dreaming Another Life', 'Beautiful Thing', 'Deep Cut', 'Roll on Blank Tapes', 'Suspicious of Me', 'A Hit Song', 'Oh Baby', ""There's Nothing to Hide"", 'I Feel You', 'Out of Time']","['#f08c02', '#f19001', '#a38da4', '#f08f00']","",94,3.3,7,1,2,10
458,71,459,"Pure Beauty","Shirt","2018-02-09","The debut full-length studio release for the New York City indie rapper features contributions from such artists as Chase, Ricky Dubs, Donnie Fontaine, Brady James, Joe Hov, Marie Matusz, New York, San Holo, Steel Tipped Dove, Wonder Breed, and Zois.",2018,2.92,"East Coast Hip Hop
Hardcore Hip Hop","English","['Snowbeach', 'Climate Change', 'Energy', 'Zebra', 'Palace Intrigue', 'Fuck It Going Live', 'Woman Is God', 'Do It Right', 'Flight Home', ""If I Can't Do My"", 'Mise En Abyme']","['#7a7a7a', '#cccccc']","",81,2,2,2,2,1
459,71,460,"Colt","Hilary Woods","2018-06-08","The debut full-length solo release for the Irish singer-songwriter was co-produced with James Kelly.",2018,3.22,"Ambient Pop
Dream Pop, Ethereal Wave","","['Inhaler', 'Prodigal Dog', 'Take Him In', 'Kith', 'Jesus Said', 'Sever', 'Black Rainbow', 'Limbs']","['#1e6675', '#9badb9', '#195668', '#7a7a7a']","#1,326 for 2018",221,25.375,46,18,21.5,8
460,71,461,"Die Lit","Playboi Carti","2018-05-11","The debut full-length studio release for the Atlanta rapper features guest appearances from Pi'erre Bourne, Chief Keef, Gunna, Lil Uzi Vert, Red Coldhearted, Travis Scott, Skepta, Bryson Tiller, Young Nudy, and Young Thug.",2018,3.68,"Trap, Southern Hip Hop, Cloud Rap
Pop Rap, Plugg","English","['Long Time (Intro)', 'R.I.P.', 'Lean 4 Real', 'Old Money', 'Love Hurts', 'Shoota', 'Right Now', 'Poke It Out', 'Home (KOD)', 'Fell in Luv', 'Foreign', 'Pull Up', 'Mileage', 'FlatBed Freestyle', 'No Time', 'Middle of the Summer', ""Choppa Won't Miss"", 'R.I.P. Fredo (Notice Me)', 'Top']","['#7a7a7a', '#c5c5c5', '#b7b7b7', '#a4a4a4']","#19 for 2018, #2,155 overall",22689,66.4736842105263,79,58,65,19
461,71,462,"Stay Dangerous","YG","2018-08-03","The third full-length studio release for the Southern California rapper features guest appearances by 2 Chainz, A$AP Rocky, Big Sean, Jay 305, Nicki Minaj, Mozzy, Quavo, Ty Dolla $ign, and YoungBoy Never Broke Again.",2018,2.2,"Gangsta Rap, Trap, West Coast Hip Hop
Pop Rap","English","['10 Times', 'Bulletproof', 'Handgun', 'Suu Whoop', ""Can't Get in Kanada"", 'Too Cocky', 'Big Bank', 'Power', 'Slay', '666', 'Too Brazy', 'Pussy Money Fame', 'Deeper Than Rap', 'Free the Homies Interlude', 'Bomptown Finest']","['#a24a5a', '#8d192c', '#cb7487', '#7f7a7a']","",1241,42.0666666666667,66,26,43,15
462,71,463,"so sad so sexy","Lykke Li","2018-06-08","The fourth full-length release for the Swedish singer-songwriter features guest appearances from Aminé and Rostam Batmanglij.",2018,2.85,"Alternative R&B, Alt-Pop
Trap, Ambient Pop, Pop Rap","English","['Hard Rain', 'Deep End', 'Two Nights', 'Last Piece', 'Jaguars in the Air', 'Sex Money Feelings Die', 'So Sad So Sexy', 'Better Alone', 'Bad Woman', 'Utopia']","['#b2918c', '#b9b9b9', '#a4a49c', '#c92120', '#b7b7b7', '#6e6e6e', '#9c9c9c', '#8a8a8a', '#aeaeae']","#1,604 for 2018",1334,44.8,73,37,42.5,10
463,71,464,"One People One World","Femi Kuti","2018-02-23","The 10th full-length release for the saxophonist (and oldest son of Afrobeat artist Fele Kuti) was recorded mainly in Lagos with his band Positive Force.",2018,3.14,"Afrobeat
Highlife, Jazz-Funk","","['Africa Will Be Great Again', 'Best to Live on the Good Side', 'One People One World', 'Na Their Way Be That', 'How Many', 'Evil People', 'Equal Opportunity', 'E Get As E Be', 'Corruption Na Stealing', 'Dem Don Come Again', 'Dem Militarize Democracy', 'The Way Our Lives Go']","['#5889aa', '#4b81a7', '#cccccc', '#a3998d', '#c7a08f', '#256646', '#986c3f', '#b1845b', '#724f3b']","",70,6.41666666666667,27,1,3,12
464,70,465,"Any Day","The Sea and Cake","2018-05-11","The first new release in six years for the Chicago indie rock band is its first without bassist Eric Claridge.",2018,3.12,"Indie Pop, Indie Rock
Post-Rock","","['Cover the Mountain', 'I Should Care', 'Any Day', 'Occurs', 'Starling', 'Paper Window', 'Day Moon', 'Into Rain', 'Circle', 'These Falling Arms']","['#cbcccc', '#9caeb4', '#9a8665', '#4f6f62', '#a0918c', '#95ab9e', '#9c4029', '#a0bbcc']","#1,165 for 2018",282,14,23,10,13,10
465,70,466,"Walk Between Worlds","Simple Minds","2018-02-02","The 18th full-length studio release for the Scottish rock band was co-produced with Gavin Goldberg and Andy Wright.",2018,3.08,"Pop Rock
Synthpop, New Wave","English","['Magic', 'Summer', 'Utopia', 'The Signal and the Noise', 'In Dreams', 'Barrowland Star', 'Walk Between Worlds', 'Sense of Discovery', 'Silent Kiss [bonus track]', 'Angel Underneath My Skin [bonus track]', 'Dirty Old Town (Live) [bonus track]']","['#a9aeb4', '#989c9c', '#adb5b8', '#7f7e84', '#6a6468', '#c2bcbe', '#8f999b']","#1,616 for 2018",212,23.5454545454545,30,20,23,11
466,70,467,"Lovelaws","TT","2018-05-18","The debut full-length solo release for Warpaint guitarist Theresa Wayman was co-produced with her brother Ivan, Dan Carey and Money Mark.",2018,3.27,"Art Pop, Trip Hop
Dream Pop, Alternative R&B","","['Mykki', ""I've Been Fine"", 'Love Leaks', 'The Dream', 'Tutorial', 'Dram', 'Safe', 'Sassafras Interlude', 'Take One', 'Too Sweet']","['#b0a086', '#b4a6a3', '#6d6151']","#1,452 for 2018",191,14.6,29,6,12,10
467,70,468,"In the Blue Light","Paul Simon","2018-09-07","The latest release for the singer-songwriter features new arrangements on 10 songs that span his career and features contributions from such artists as Jack DeJohnette, Bill Frisell, Steve Gadd, Wynton Marsalis, and yMusic.",2018,3.06,"Singer-Songwriter
Chamber Pop, Jazz Pop, Folk Pop","English","[""One Man's Ceiling Is Another Man's Floor"", 'Love', ""Can't Run But"", 'How the Heart Approaches What It Yearns', 'Pigs, Sheep and Wolves', 'René and Georgette Magritte With Their Dog After the War', 'The Teacher', 'Darling Lorraine', ""Some Folks' Lives Roll Easy"", 'Questions for the Angels']","['#b5b4b4', '#1224ae', '#9598a7', '#6b75bd', '#828ab1', '#4b56bf', '#2a3cba', '#3a45b9', '#1929b4', '#1e2995']","#1,280 for 2018",304,24.5,33,19,22,10
468,70,469,"Icarus Falls","ZAYN","2018-12-14","The second full-length solo release for the former One Direction singer features guest appearances from Nicki Minaj and Timbaland.",2018,1.9,"Contemporary R&B, Pop
Alternative R&B, Electropop","English","['Icarus', 'Let Me', 'Natural', 'Back to Life', 'Common', 'Imprint', 'Stand Still', 'Tonight', 'Flight of the Stars', 'If I Got You', 'Talk to Me', 'There You Are', ""I Don't Mind"", 'Icarus Interlude', 'Falls', 'Good Guy', 'You Wish You Knew', 'Sour Diesel', 'Satisfaction', 'Scripted', 'Entertainer', 'All That', 'Good Years', 'Fresh Air', 'Rainberry', 'Insomnia', 'No Candle No Light', 'Fingers', 'Too Much']","['#aea89f', '#6f6a7e', '#a0a7c4', '#bdb2b0', '#bbb9c4']","",338,51.25,67,45,48,20
469,70,470,"Felt","Suuns","2018-03-02","The fourth full-length release for the Canadian quartet was self-produced and mixed by John Congleton.",2018,3.03,"Experimental Rock, Art Rock
Neo-Psychedelia","","['Look No Further', 'X-ALT', 'Watch You, Watch Me', 'Baseline', 'After the Fall', 'Control', 'Make It Real', 'Daydream', 'Peace and Love', 'Moonbeams', 'Materials']","['#7b7f80', '#b4b0a4', '#8b942b', '#7a7a83']","#1,307 for 2018",425,11.4545454545455,18,6,10,11
470,70,471,"Indigo","Wild Nothing","2018-08-31","The fourth full-length release for indie pop project of Jack Tatum was produced with Jorge Elbrecht.",2018,3.16,"Dream Pop, Indie Pop
Sophisti-Pop, Synthpop, Jangle Pop, New Romantic","English","['Letting Go', 'Oscillation', 'Partners in Motion', 'Wheel of Misfortune', 'Shallow Water', 'Through Windows', 'The Closest Thing to Living', 'Dollhouse', 'Canyon on Fire', 'Flawed Translation', 'Bend']","['#bab29e', '#385e67', '#838786', '#aaa696', '#9c9583']","#1,007 for 2018",950,29.2727272727273,44,20,29,11
471,70,472,"Queen","Nicki Minaj","2018-08-10","The fourth full-length release for the rapper features guest appearances from Eminem, Foxy Brown, Future, Ariana Grande, Labrinth, Lil Wayne, Swae Lee, and The Weeknd.",2018,2.44,"Pop Rap, East Coast Hip Hop
Trap, Contemporary R&B, Hardcore Hip Hop","English, Spanish","['Ganja Burns', 'Majesty', 'Barbie Dreams', 'Rich Sex', 'Hard White', 'Bed', 'Thought I Knew You', 'Run & Hide', 'Chun Swae', 'Chun-Li', 'LLC', 'Good Form', 'Nip Tuck', '2 Lit 2 Late Interlude', 'Come See About Me', 'Sir', 'Miami', 'Coco Chanel', 'Inspirations Outro']","['#c43306', '#8e807d', '#624024', '#d83d04']","",2410,32.15,80,22,28,20
472,70,473,"Addendum","John Maus","2018-05-18","The sixth full-length release for the synth-pop artist was recorded during the same sessions as 2017's Screen Memories.",2018,3.17,"Hypnagogic Pop, Synthpop
Minimal Synth, Coldwave","English","['Outer Space', 'Dumpster Baby', 'Episode', 'Drinking Song', 'Figured It Out', 'Middle Ages', 'Mind the Droves', 'Privacy', 'Running Man', 'Second Death', '1987', 'I Want to Live']","['#77a8d1', '#4184c8', '#c39ea5', '#cacac4', '#526563', '#8b8f9b', '#3176bb']","#998 for 2018",1254,24,38,16,22.5,12
473,70,474,"Hold On To Your Heart","The Xcerts","2018-01-19","The fourth full-length release for the Scottish trio was produced by Gary Clark.",2018,2.63,"Power Pop, Indie Rock
Emo","English","['The Dark', 'Daydream', 'Feels Like Falling in Love', 'First Kiss Feeling', 'Crazy', 'Hold on to Your Heart', 'Drive Me Wild', 'We Are Gonna Live', 'Show Me Beautiful', 'Cry']","['#b12027', '#7e7b7a', '#a17a7e', '#fda2a9']","",91,17.1,36,8,13,10
474,70,475,"Lost Friends","Middle Kids","2018-05-04","This is the debut full-length release for the Australian indie pop trio of Hannah Joy, Tim Fitz (who also produced) and Harry Day.",2018,3.32,"Indie Rock
Indie Pop, Big Music","English","['Bought It', 'Mistake', 'Edge of Town', 'Maryland', 'On My Knees', ""Don't Be Hiding"", 'Hole', 'Please', 'Lost Friends', 'Never Start', 'Tell Me Something', ""So Long, Farewell, I'm Gone""]","['#c4cbba', '#574263', '#646458', '#a09897', '#543b59']","#1,122 for 2018",233,20.25,46,12,19,12
475,70,476,"Pray for the Wicked","Panic! At the Disco","2018-06-22","The sixth full-length release for Brendon Urie was written after his stint in Broadway's Kinky Boots and was produced by Jake Sinclair.",2018,1.88,"Electropop
Dance-Pop, Pop Rock, Big Band","English","['(Fuck a) Silver Lining', 'Say Amen (Saturday Night)', 'Hey Look Ma, I Made It', 'High Hopes', 'Roaring 20s', ""Dancing's Not a Crime"", 'One of the Drunks', 'The Overpass', 'King of the Clouds', 'Old Fashioned', 'Dying in LA']","['#a5a396', '#a2a0a4', '#808483', '#4e5253', '#b8b9b4']","",2764,59.2727272727273,81,51,56,11
