"Metacritic_Score","Album_Name","Singer","Release_Date","Desciption","User_Score","Release_Year"
78,"Understand What Black Is","The Last Poets",2018-05-18,"The first release in over 20 years for the Harlem trio of Abiodun Oyewole, Umar Bin Hassan, and Baba Donn Babatunde was produced by Ben Lamdin and Prince Fatty.",NA,2018
78,"Dionysus","Dead Can Dance",2018-11-02,"The ninth full-length release for the musical project of Lisa Gerrard and Brendan Perry was inspired by European festivals that began as celebrations for the Greek god Dionysus.",8,2018
78,"Mother","Xylouris White",2018-01-19,"The third full-length release for the duo of George Xylouris and Jim White was produced by Fugazi's Guy Picciotto.",7.6,2018
78,"Dungeness","Trembling Bells",2018-03-30,"This is the latest full-length release for the Scottish folk rock group led by Alex Neilson.",NA,2018
78,"Con Todo El Mundo","Khruangbin",2018-01-26,"The second full-length release for the Texas trio of Laura Lee, Mark Speer, and Donald “DJ” Johnson adds influences by Mediterranean and  Middle Eastern music.",7.8,2018
78,"Bottle It In","Kurt Vile",2018-10-12,"The seventh full-length solo release for the Philadelphia-based singer-songwriter was recorded over two years in a variety of location in the US while he was on tour or vacationing.",7.9,2018
78,"Swimming","Mac Miller",2018-08-03,"The fifth full-length release for the Pittsburgh rapper features guest appearances from Dām-Funk, Dicaprio, Dev Hynes, Snoop Dogg, Syd, and Thundercat.",8.7,2018
78,"The Nature of Imitation","Dorian Concept",2018-08-03,"The second full-length release for electronic producer Oliver Johnson as Dorian Concept was inspired by '60s jazz, '70s fusion, '80s neo prog-rock, and ‘90s electronica.",NA,2018
78,"Ghost Forests","Meg Baird",2018-11-09,"The debut full-length release for the collaboration between Meg Baird and Mary Lattimore was recorded in Los Angeles with Thom Monaghan.",NA,2018
78,"Twentytwo in Blue","Sunflower Bean",2018-03-23,"The second full-length release for the Brooklyn indie pop trio of Julia Cumming, Nick Kivlen, and Jacob Faber was co-produced by Unknown Mortal Orchestra's Jacob Portrait.",7.4,2018
78,"Criminal","The Soft Moon",2018-02-02,"The fourth full-length release for the Luis Vasquez solo project was produced by Maurizio Baggio.",7.8,2018
78,"Widdershins","Grant-Lee Phillips",2018-02-23,"The ninth full-length solo release for the singer-songwriter was recorded over four days in Nashville and was mixed by Tucker Martine.",NA,2018
78,"A Humdrum Star","GoGo Penguin",2018-02-09,"The fourth full-length release for the Manchester-based jazz trio features elements of electronic music.",8.3,2018
78,"Christmas Everywhere","Rodney Crowell",2018-11-02,"The Christmas-themed album from the country singer-songwriter features guest appearances from Daddy Cool & The Yule, Mary Kerr, Brennen Leigh, and Lera Lynn.",NA,2018
78,"Call the Comet","Johnny Marr",2018-06-15,"The third full-length solo release for the ex-Smiths guitarist was recorded at Manchester's Crazy Face Studios and features a future society at the brink of destruction that ultimately find help from ""a different intelligence from the cosmos.'",7.6,2018
78,"Clean","Soccer Mommy",2018-03-02,"The debut full-length release for the Nashville indie singer-songwriter was produced by Gabe Wax and mixed by Ali Chant.",8.1,2018
78,"Tearing at the Seams","Nathaniel Rateliff & the Night Sweats",2018-03-09,"The second full-length release for the Denver-based band was produced by Richard Swift.",8.4,2018
78,"I Can Feel You Creep Into My Private Life","tUnE-yArDs",2018-01-19,"The fourth full-length release for Merrill Garbus and Nate Brenner was mixed by Mikaelin ""Blue"" BlueSpruce.",7.5,2018
78,"Possible Dust Clouds","Kristin Hersh",2018-10-05,"The 10th full-length solo studio release for the Throwing Muses singer is her first on the Fire Records label.",7.7,2018
78,"Jake Shears","Jake Shears",2018-08-10,"The debut full-length solo release for the Scissor Sisters frontman was produced by Kevin Ratterman and features members from My Morning Jacket and the Preservation Hall Jazz Band.",7.7,2018
78,"Sculptor","Luluc",2018-07-13,"The third full-length release for the Australian duo of Zoe Randell and Steve Hassett features contributions from The National’s Aaron Dessner, Matt Eccles, J Mascis, Dave Nelson, and Jim White of Dirty Three.",6.8,2018
78,"The Salt Doll Went to Measure the Depth of the Sea","The Low Anthem",2018-02-23,"The fifth full-length release for the Rhode Island indie folk band was inspired by a Buddhist fable about a doll made of salt who searches for herself by going into the sea.",NA,2018
78,"The Thread That Keeps Us","Calexico",2018-01-26,"The ninth full-length studio release for the Arizona-based rock band led by Joey Burns and John Convertino was recorded in California and was co-produced with Craig Schumacher.",7.6,2018
78,"Last Night","Benin City",2018-04-13,"The second full-length release for the London-based trio of Joshua Idehen,  Shanaz Dorsett and Tom Leaper was inspired by the London nightclub scene.",NA,2018
78,"Camila","Camila Cabello",2018-01-12,"The debut full-length solo release for the former Fifth Harmony member features contributions from such artists as  Shawn Mendes, Machine Gun Kelly, Pitbull, Skrillex, Ryan Tedder, Pharrell Williams, and Young Thug.",8.5,2018
77,"Dance on the Blacktop","Nothing",2018-08-24,"The third full-length release for the Philadelphia shoegaze band led by Domenic Palermo was produced by John Agnello.",7.3,2018
77,"Among the Ghosts","Lucero",2018-08-03,"The ninth full-length studio release for the Memphis alt-country band was recorded live in studio with Matt Ross-Sprang.",NA,2018
77,"I'm Bad Now","Nap Eyes",2018-03-09,"The third full-length release for the Canadian band led by Nigel Chapman was recorded and mixed by Howard Bilerman and Mike Wright.",6.3,2018
77,"I Don't Run","Hinds",2018-04-06,"The second full-length release for the Spanish indie rock band was was co-produced with Gordon Raphael.",7.7,2018
77,"Merrie Land","The Good, the Bad & the Queen",2018-11-16,"The second full-length release for the supergroup that includes Damon Albarn, Paul Simonon, Simon Tong and Tony Allen was influenced by the  Brexit vote.",7.8,2018
77,"Deeper Woods","Sarah Louise",2018-05-11,"The third full-length release for the North Carolina folk singer-songwriter was self-produced and mixed by Jason Meagher.",NA,2018
77,"No Cross No Crown","Corrosion of Conformity",2018-01-12,"The 10th full-length studio release for the North Carolina metal band sees the return of singer/guitarist Pepper Keenan and was produced by John Custer.",6.7,2018
77,"The Tree of Forgiveness","John Prine",2018-04-13,"Produced by Dave Cobb, the first release of new songs in 13 years for the singer-songwriter features contributions from such artists as Dan Auerbach, Brandi Carlile, Jason Isbell, and Amanda Shires.",8.2,2018
77,"Liberty","Lindi Ortega",2018-03-30,"The seventh full-length studio release for the Canadian alt-country singer-songwriter was inspired by spaghetti western and was produced by Skylar Wilson.",8,2018
77,"There's a Riot Going On","Yo La Tengo",2018-03-16,"The 15th full-length release for the New Jersey indie rock trio is its first featuring new songs since 2013's Fade.",8.1,2018
77,"A Legendary Christmas","John Legend",2018-10-26,"The holiday album from the R&B singer was produced by Raphael Saadiq feature guest appearances from Esperanza Spalding and Stevie Wonder.",2.5,2018
77,"Bad Witch","Nine Inch Nails",2018-06-22,"The six-track project is the third and final part of a planned trilogy of EPs for Trent Reznor and Atticus Ross.",8,2018
77,"The Art of Pretending to Swim","Villagers",2018-09-21,"The fourth full-length release for the solo project for the Irish singer-songwriter Conor J. O'Brien was self-produced.",6.7,2018
77,"Lamp Lit Prose","Dirty Projectors",2018-07-13,"The eighth full-length release for David Longstreth project features guest appearanmces from Dear Nora, Empress Of, Haim, Amber Mark, Fleet Foxes' Robin Pecknold, Rostam, and Syd of The Internet.",7.9,2018
77,"Basic Volume","Gaika",2018-07-27,"The debut full-length release for the British industrial electronic/dancehall artist features production from Aart, DADRAS, Dre Skull, Dutch E Germ, Jam City, Nick Leon, Buddy Ross, and SOPHIE.",7.5,2018
77,"Whistle Down the Wind","Joan Baez",2018-03-02,"The first full-length studio release in a decade for the folk singer-songwriter features covers of songs by such artists as Anohni, Mary Chapin Carpenter, Tim Eriksen, Joe Henry (who also produced the album), and Josh Ritter.",NA,2018
77,"Uniform Distortion","Jim James",2018-06-29,"The third full-length solo release for the My Morning Jacket frontman was self-produced and was inspired by a photo in the 1970s magazine, The Last Whole Earth Catalog.",7.3,2018
77,"Silver Dollar Moment","The Orielles",2018-02-16,"The debut full-length release for the British indie pop trio of Esme Dee Hand-Halford, Sidonie Hand-Halford, and Henry Wade was produced by Marta Salogni.",7.8,2018
77,"Little Dark Age","MGMT",2018-02-09,"The fourth full-length studio release for the indie rock duo of Andrew VanWyngarden and Ben Goldwasser was produced with Patrick Wimberly and Dave Fridmann.",8.6,2018
77,"Space Gun","Guided Voices",2018-03-23,"The latest release from the indie rock band led by the prolific Robert Pollard introduces Mark Shue and Bobby Bare, Jr. to the line-up.",7.1,2018
77,"For My Crimes","Marissa Nadler",2018-09-28,"The eighth full-length release for the Boston singer-songwriter features contributions from Dum Dum Girls' Kristin Kontrol, Mary Lattimore, Janel Leppin, Angel Olsen, and Sharon Van Etten.",7.4,2018
77,"You're Not Alone","Andrew W.K.",2018-03-02,"This is the first new full-length studio release for the hard rock artist in nine years.",8.1,2018
77,"Vol. 8","Bardo Pond",2018-02-02,"The latest volume of improvisational songs from the Philadelphia alternative rock band that are usually released on limited number of  CD-Rs gets a wider distribution.",NA,2018
77,"Championships","Meek Mill",2018-11-30,"The fourth full-length studio release for the rapper features guest appearances from 21 Savage, Anuel AA, Cardi B, Drake, Ella Mai, Fabolous, Future, Jay Z, Jeremih, Kodak Black, Melii, PnB Rock, Rick Ross, Roddy Ricch and Young Thug.",7.6,2018
77,"Love the Holidays","Old 97's",2018-11-16,"The holiday album from the alt-country band features nine original songs and five yuletide classics.",NA,2018
77,"Bon Voyage","Melody's Echo Chamber",2018-06-15,"The second full-length release for the music project of Melody Prochet features contributions from Pond's Nicholas Allbrook, Dungen's Reine Fiske, Gustav Ejstes, Johan Holmegard, and The Amazing's Fredrik Swahn.",8,2018
77,"Moosebumps: An Exploration Into Modern Day Horripilation","Dr. Octagon",2018-04-06,"The follow-up to 1996's Dr. Octagonecologyst sees the return of Dan The Automator, MC Kool Keith and DJ Q-Bert as well as guest appearances from Paul Banks of Interpol and Del the Funky Homosapien.",7.8,2018
77,"Firepower","Judas Priest",2018-03-09,"The 18th full-length studio release for the British heavy metal band led by Rob Halford was produced by Tom Allom and Andy Sneap.",8,2018
77,"Basic Behaviour","Frigs",2018-02-23,"The debut full-length release for the Toronto-based trio led by Bria Salmena was self-recorded, produced and mixed.",NA,2018
77,"It's a New Day Tonight","Michael Rault",2018-05-18,"The second full-length release for the Montreal-based rock artist was produced by Wayne Gordon.",NA,2018
77,"Family Portrait","Ross from Friends",2018-07-27,"This is the debut full-length release for British electronic producer Felix Clary Weatherall.",7.8,2018
77,"I Don’t Want: The Gold Fire Sessions","Santigold",2018-07-27,"The fourth full-length release for the Los Angeles-based artist was recorded in two weeks with Dre Skull and features a guest appearance from Shenseea.",NA,2018
77,"Record","Tracey Thorn",2018-03-02,"The fifth full-length solo release for the Everything But The Girl singer features guest appearances from Bailey Rae and Shura.",6.9,2018
77,"Cosmic Wink","Jess Williamson",2018-05-11,"The third full-length release for the Los Angeles-based singer-songwriter was inspired by her recent move to California from Texas.",NA,2018
77,"First Flower","Molly Burch",2018-10-05,"The second full-length release for the Austin-based singer-songwriter was produced with Erik Wofford.",NA,2018
77,"Fudge Sandwich","Ty Segall",2018-10-26,"The covers album from the garage rock artist features songs by The Dils, Amon Düül II, Funkadelic, Gong, Grateful Dead, John Lennon, Rudimentary Peni, Sparks, Spencer Davis Group, War, and Neil Young.",7.2,2018
77,"The Blue Hour","Suede",2018-09-21,"The eighth full-length studio release for the British alternative rock band was produced by Alan Moulder.",7.7,2018
77,"Resolve","Poppy Ackroyd",2018-02-02,"The latest solo release for the British artist who is also a member of Hidden Orchestra was self-produced.",NA,2018
77,"Dream Wife","Dream Wife",2018-01-26,"This is the debut full-length release for the London based indie-pop trio of Rakel Mjöll, Alice Go, and Bella Podpadec.",8,2018
77,"Bodied","Ital Tek",2018-09-07,"The sixth full-length release for British electronic producer Alan Myson is said to have a ""much greater focus into the sound design and palette.""",NA,2018
77,"Brighter Wounds","Son Lux",2018-02-09,"The fifth full-length release for Ryan Lott's solo-project-turned-trio that now includes Rafiq Bhatia and Ian Chang is its first on the City Slang label.",8.1,2018
76,"Venetian Snares x Daniel Lanois","Venetian Snares",2018-05-04,"This is the debut full-length release for the collaboration between Venetian Snares and Daniel Lanois.",NA,2018
76,"Ruins","First Aid Kit",2018-01-19,"The second full-length release for the Swedish sisters Johanna and Klara Söderberg was produced by Tucker Martine with contributions from R.E.M.'s Peter Buck, Wilco's Glenn Kotche, and Midlake's McKenzie Smith,",7.4,2018
76,"Deafman Glance","Ryley Walker",2018-05-18,"The fourth full-length release for the Chicago singer-songwriter was produced with LeRoy Bach.",6.4,2018
76,"Challenge Me Foolish","µ-Ziq",2018-04-13,"The 14 track collection of songs from Planet Mu's Mike Paradinas was culled from mostly unreleased material recorded in the late 1990s.",NA,2018
76,"Obey","Exploded View",2018-09-28,"This is the second full-length release for the Mexico City-based project that includes Anika Henderson, Hugo Quezada, and Martin Thulin.",NA,2018
76,"Perfect Shapes","Madeline Kenney",2018-10-05,"The second full-length release for the indie singer-songwriter was produced by Wye Oak's Jenn Wasner.",NA,2018
76,"SR3MM","Rae Sremmurd",2018-05-04,"Future, Juicy J, Zoë Kravitz, Pharrell, Riff 3x, Travis Scott, Trouble, The Weeknd, and Young Thug are some of the guests on the  triple-album release from Slim Jxmmi and Swae Lee.",6.2,2018
76,"The  Official Body","Shopping",2018-01-19,"The third full-length release for the London-based pop-punk band was produced by Edwyn Collins.",7.9,2018
76,"Messes","Stef Chura",2018-02-02,"The debut full-length release for the Michigan indie rock artist was originally released in 2017 by Urinal Cake Records before a wider release by Saddle Creek Records in 2018.",NA,2018
76,"Thunder Follows the Light","Mutual Benefit",2018-09-21,"John Lee worked with Gabriel Birnbaum of Wilder Maker, Mike Clifford, Jake Falby, Johanne Swanson of Yohuna, Felix Walworth of Told Slant, and Dillon Zahner on his third full-length release for his music project.",NA,2018
76,"Queen of Golden Dogs","Vessel",2018-11-09,"The third full-length release for Sebastian Gainsborough as Vessel is his first in four years and features vocals from Olivia Chaney.",7.2,2018
76,"Phoenix","Rita Ora",2018-11-23,"The second full-length release for the pop singer includes an Avicii track, as well as guest appearances from Bebe Rexha, Cardi B, Charli XCX, Julia Michaels, Liam Payne, and Rudimental.",8.3,2018
76,"No. 4","Christina Vantzou",2018-04-06,"The fourth full-length release for the Belgium-based composer features contributions from such artists as Forma's John Also Bennett, Angel Deradoorian, Echo Collective, and Steve Hauschildt.",NA,2018
76,"Fall Into the Sun","Swearin'",2018-10-05,"The third full-length release for the Philadelphia trio of Allison Crutchfield, Kyle Gilbride and Jeff Bolt was recorded in Los Angeles and Philadelphia.",NA,2018
76,"As Long as I Have You","Roger Daltrey",2018-06-01,"The ninth full-length solo release for The Who founder features several covers as well as original songs and includes contributions from Sean Genockey, Mick Talbot, and Pete Townshend.",NA,2018
76,"Tranquility Base Hotel + Casino","Arctic Monkeys",2018-05-11,"The sixth full-length studio release for the British indie rock band led by Alex Turner was produced by James Ford.",7.3,2018
76,"Bunny","Matthew Dear",2018-10-12,"The fifth full-length release for the electronic music producer features guest appearances from Tegan and Sara.",7.5,2018
76,"Hormone Lemonade","Cavern of Anti-Matter",2018-03-23,"The third full-length release for the project of Stereolab's Tim Gane was recorded to tape over three one-hour sessions.",NA,2018
76,"Insecure Men","Insecure Men",2018-02-23,"The debut full-length release for the new project from Fat White Family's Saul Adamczewski and Childhood's Ben Romans-Hopcraft was produced by Sean Lennon.",NA,2018
76,"Quiet and Peace","Buffalo Tom",2018-03-02,"The ninth full-length studio release for the Boston alternative rock band was produced by Dave Minehan.",NA,2018
76,"hej!","Felicita",2018-08-03,"The full-length debut studio release for the London-based producer features a guest appearance from Chairlift's Caroline Polachek.",6.6,2018
76,"The Return","Kamaal Williams",2018-05-25,"The debut full-length release for the British jazz artist features a guest appearance from Mansur Brown and influences from drum 'n' bass, hip hop and R&B.",NA,2018
76,"My Way","Willie Nelson",2018-09-14,"The latest release for the country singer-songwriter is a tribute to Frank Sinatra featuring songs made famous by the the man called the Chairman of the Board and a guest appearance by Norah Jones.",NA,2018
75,"Evil Spirits","The Damned",2018-04-13,"The first release in a decade for the British punk rock band was recorded live over nine days by producer Tony Visconti.",NA,2018
75,"Million Dollars To Kill Me","Joyce Manor",2018-09-21,"The fifth full-length release for the Southern California pop-punk band was produced by Kurt Ballou.",8,2018
75,"The Lamb","Lala Lala",2018-09-28,"The second full-length release for the Chicago-based singer-songwriter was written after a series of events including ""a home invasion, deaths of loved ones and general violence.""",NA,2018
75,"Combat Sports","The Vaccines",2018-03-30,"The fourth full-length release for the indie rock band was produced by Ross Orton.",8,2018
75,"Who Are You","E Ruscha V",2018-03-02,"This is the debut full-length studio release for producer Eddie Ruscha, who previously released music under the name Secret Circuit.",NA,2018
75,"Digital Garbage","Mudhoney",2018-09-28,"The first full-length release in five years for the Seattle-based alternative rock band was recorded by Johnny Sangster.",7,2018
75,"Murmurations","Simian Mobile Disco",2018-05-11,"The sixth full-length studio release for the British electronic duo features London's Deep Throat Choir.",8,2018
75,"Sex & Food","Unknown Mortal Orchestra",2018-04-06,"The fourth full-length release for the Portland, Oregon-based project of Ruban Nielson was recorded in several locations including Iceland, Mexico, New Zealand, South Korea, and Vietnam.",8,2018
75,"Music For The Long Emergency","Poliça",2018-02-16,"This is the debut full-length collaboration between Minneapolis electro-pop band Poliça and the Berlin-based orchestra collective Stargaze.",8,2018
75,"Tahoe","Dedekind Cut",2018-02-23,"The second full-length ambient release for the California producer (who also released albums under the name Lee Bannon) was recorded in Berlin, California, Cambridge, and New York.",NA,2018
75,"Hardly Electronic","The Essex Green",2018-06-29,"The Brooklyn neo-psychedelic pop trio of Sasha Bell, Jeff Baron, and Christopher Ziter return for their first full-length release since 2006's Cannibal Sea.",NA,2018
75,"High As Hope","Florence + the Machine",2018-06-29,"The fourth full-length release for the British indie rock band features contributions from such artists as Thomas Bartlett, Jamie xx, Sampha, and Tobias Jesso Jr, Kelsey Lu, and Kamasi Washington.",8.5,2018
75,"Living in Extraordinary Times","James",2018-08-03,"The 15th full-length studio release for the British rock band was produced by Charlie Andrew and Beni Giles.",7.4,2018
75,"Mr. Dynamite","Creep Show",2018-03-16,"The debut full-length release for the collaboration between John Grant and Wrangler (Stephen Mallinder, Phil Winter and Benge Edwards)",NA,2018
75,"Elastic Days","J Mascis",2018-11-09,"The latest solo release for the Dinosaur Jr. singer/guitarist features guest vocals from Black Heart Procession's Pall Jenkins, Mark Mulcahy and Luluc's Zoë Randell.",6.2,2018
75,"Conquistador","Dylan Carlson",2018-04-27,"The latest solo release for the Earth frontman was recorded by Kurt Ballou.",NA,2018
75,"Wait For Love","Pianos Become the Teeth",2018-02-16,"The fourth full-length release for the Baltimore post-hardcore band was produced by by Will Yip.",8,2018
75,"async: Remodels","Ryuichi Sakamoto",2018-02-16,"Alva Noto, Arca, Cornelius, Electric Youth, Fennesz, Jóhann Jóhannsson, Motion Graphics, Oneohtrix Point Never, Andy Stott, S U R V I V E and Yves Tumor remixed some of the tracks from Ryuichi Sakamoto's 2017 release.",NA,2018
75,"Please Don't Be Dead","Fantastic Negrito",2018-06-15,"The follow-up to the Oakland artist's Grammy Award-winning 2016 release was influenced in part by divisive political and social issues.",NA,2018
75,"Vaxis - Act I: The Unheavenly Creatures","Coheed and Cambria",2018-10-05,"The Amory Wars epic continues in the self-produced ninth full-length studio release for the progressive rock band.",7.3,2018
75,"Quit the Curse","Anna Burch",2018-02-02,"The debut full-length solo release for the Frontier Ruckus/Failed Flowers member was mixed by Collin Dupuis.",8.2,2018
75,"The Other","King Tuff",2018-04-13,"The fourth full-length release for Kyle Thomas as King Tuff was self-produced and features contributions from Mikal Cronin, Jenny Lewis, Charles Moothart Kevin Morby, Greta Morgan, and Ty Segall.",8,2018
75,"Czarface Meets Metal Face","Czarface/MF Doom",2018-03-30,"The first full-length collaboration between Czarface [Wu-Tang Clan's Inspectah Deck and 7L & Esoteric] and MF Doom features guest appearances from Kendra Morris, Open Mike Eagle and Vinnie Paz.",7.7,2018
75,"Go to School","The Lemon Twigs",2018-08-24,"The second full-length release for Brian and Michael D'Addario is a concept musical album about a chimpanzee named Shane raised a human boy and features guest appearances from Todd Rundgren and the D'Addario brothers' mother.",7.8,2018
75,"The Switch","Body/Head",2018-07-13,"This is the second full-length studio release for Kim Gordon's post-Sonic Youth project with guitarist Bill Nace.",6,2018
75,"The Long Walk","Uniform",2018-08-17,"Ben Greenberg and Michael Berdan add drummer Greg Foxfor for the band's third full-length release.",NA,2018
75,"Black Rainbow Sound","Menace Beach",2018-09-07,"The third full-length release for the British duo of Ryan Needham and Liza Violet features a guest appearance by Brix Smith and was produced by Matt Peel.",NA,2018
75,"Bought to Rot","Laura Jane Grace & the Devouring Mothers",2018-11-09,"The debut full-length release for the music project from the Against Me! singer/guitarist features Atom Willard and Marc Hudson.",6.9,2018
75,"I Have Fought Against It, But I Can't Any Longer.","The Body",2018-05-11,"The seventh full-length release for the duo of Lee Buford and Chip King features contributions from Sandworm's Ben Eberle, Lingua Ignota's Kristin Hayter and Assembly of Light Choir's Chrissy Wolpert.",7.7,2018
75,"Elephants on Acid","Cypress Hill",2018-09-28,"The ninth full-length studio release for the California hip-hop group was produced by DJ Muggs.",7.4,2018
75,"Floating Features","La Luz",2018-05-11,"The third full-length release for the Los Angeles-based indie pop band originally from Seattle was inspired by both the physical and psychological features of Los Angeles.",8,2018
75,"Johnny Cash: Forever Words","Various Artists",2018-04-06,"New songs were created from Johnny Cash's letters, poems and unfinished or rejected lyrics by T-Bone Burnett, Carlene Carter, Rosanne Cash, Chris Cornell, Elvis Costello, Dailey & Vincent, Robert Glasper, I’m With Her, The Jayhawks, Jewel, Jamey Johnson, Kris Kristofferson, John Mellencamp, Kacey Musgraves (with her husband Ruston Kelly), Willie Nelson, Brad Paisley, and Union Station.",NA,2018
75,"Everything Was Beautiful, And Nothing Hurt","Moby",2018-03-02,"The 15th full-length release for the Los Angeles-based electronic artist is said to be inspired by trip-hop music.",6.8,2018
75,"Everything Is Recorded by Richard Russell","Everything Is Recorded",2018-02-16,"The full-length debut release for Richard Russell features guest appearances from Peter Gabriel, Giggs, Green Gartside, Ibeyi, Infinite, Obongjayar, Owen Pallett, Sampha, Kamasi Washington, Wiki, and Rachel Zeffira.",7.9,2018
74,"No Shame","Lily Allen",2018-06-08,"The fourth full-length release for the British pop singer features guest appearances from Burna Boy, Giggs and Lady Chann.",8.3,2018
74,"K.T.S.E.","Teyana Taylor",2018-06-23,"The acronym for the eight-track second studio release for the R&B singer stands for Keep That Same Energy and was produced by Kanye West.",7.9,2018
74,"Good Thing","Leon Bridges",2018-05-04,"The second full-length release for the Texas soul artist was executive-produced by Ricky Reed.",7.3,2018
74,"Love, Loss and Auto-Tune","Swamp Dogg",2018-09-07,"The latest release for the soul artist was produced by Poliça's Ryan Olson (with assistance from Bon Iver's Justin Vernon) and features guest appearances from Bon Iver and Guitar Shorty.",NA,2018
74,"On Reflection","Selling",2018-12-14,"This is the debut full-length release for the collaboration between Gold Panda and Simian Mobile Disco's Jas Shaw.",NA,2018
74,"A Broke Moon Rises","Papa M",2018-08-17,"The latest solo release for David Pajo as Papa M features just acoustic guitars and drums.",NA,2018
74,"Hippo Lite","Drinks",2018-04-20,"The second full-length release for the collaboration between Cate Le Bon and White Fence's Tim Presley was produced by Stephen Black and recorded in a house in the south of France.",8,2018
74,"European Heartbreak","Amber Arcades",2018-09-28,"The second full-length release for the Dutch indie pop artist was co-produced with Deerhoof's Chris Cohen and Trey Pollard.",6.4,2018
74,"Boarding House Reach","Jack White",2018-03-23,"The third full-length solo release for The White Stripes/The Raconteurs artist features contributions from C.W. Stoneking, Esther Rose and Ann & Regina McCrary of The McCrary Sisters.",7.4,2018
74,"Across the Meridian","Pram",2018-07-20,"This is the first full-length release in 11 years for the British experimental pop band.",NA,2018
74,"Ghost Stories for Christmas","Aidan Moffat",2018-12-07,"The second collaboration between Aidan Moffat and RM Hubbert in 2018 features original Christmas songs as well as covers of Yazoo's Only You and Mud's Lonely This Christmas.",NA,2018
74,"Kazuashita","Gang Gang Dance",2018-06-22,"The first new release for the New York experimental band in seven years features contributions from Jorge Elbrecht and Ryan Sawyer.",7.7,2018
74,"Encore","Anderson East",2018-01-12,"Produced by Dave Cobb, the fourth full-length release for the Nashville-based singer-songwriter features contributions from Tim Bergling, Johnny McDaid, Ed Sheeran, and Chris Stapleton.",7.4,2018
74,"I Like Fun","They Might Be Giants",2018-01-19,"The 20th full-length studio release for the Brooklyn duo of John Flansburgh and John Linnell was mixed by Patrick Dillett.",8.3,2018
74,"Endless Scroll","Bodega",2018-07-06,"The debut full-length release for the Brooklyn art rock/post-punk group led by Ben Hozie was produced by Parquet Courts' Austin Brown.",7.7,2018
74,"Lionheart","H.C. McEntire",2018-01-26,"The debut full-length solo release for the frontwoman of Mount Moriah features contributions from such artists as Phil Cook, Kathleen Hanna, Mary Lattimore, Tift Merritt, Angel Olsen, Amy Ray, and William Tyler.",NA,2018
74,"Us","Empress Of",2018-10-19,"The second full-length release for Lorely Rodriguez features contributions from Blood Orange's Dev Hynes, DJDS, and Pional.",7.7,2018
74,"Snow Bound","The Chills",2018-09-14,"The latest release for the Martin Phillipps indie pop band was produced by Greg Haver.",NA,2018
74,"Egypt Station","Paul McCartney",2018-09-07,"The 17th full-length solo studio release for the rock and pop singer-songwriter was produced by Greg Kurstin (and one track produced by Ryan Tedder and Zach Skelton).",7.5,2018
74,"KIN [Original Motion Picture Soundtrack]","Mogwai",2018-08-31,"The latest soundtrack score for the Scottish post-rock band is for Jonathan and Josh Baker's sci-fi crime drama film.",6.5,2018
74,"Now! (In a Minute)","audiobooks",2018-11-02,"This is the debut full-length release for the music project of producer David Wrench and Evangeline Ling.",NA,2018
74,"Part of the Light","Ray LaMontagne",2018-05-18,"The seventh full-length studio release for the singer-songwriter was self-produced.",NA,2018
74,"Go Dig My Grave","Susanna",2018-02-09,"The sixth full-length solo release for the Norwegian artist features folk songs as well as covers of songs from such artists as Joy Division and Lou Reed.",NA,2018
74,"Powerhouse","Planningtorock",2018-11-09,"The fourth full-length release for the Berlin-based electronic producer was recorded in Berlin, London, Los Angeles, and New York.",NA,2018
74,"Passwords","Dawes",2018-06-22,"The sixth full-length release for the folk rock band led by Taylor Goldsmith was produced by Jonathan Wilson.",7.3,2018
74,"Rare Birds","Jonathan Wilson",2018-03-02,"The third full-length solo release for the Los Angeles singer-songwriter/producer features guest appearances from Father John Misty, Lana Del Ray, Laraaji, and Lucius.",7.7,2018
74,"The Anteroom","How to Dress Well",2018-10-19,"The fifth full-length release for the experimental artist Tom Krell was co-produced by Oneohtrix Point Never's Joel Ford.",7,2018
73,"KOD","J. Cole",2018-04-20,"The fifth full-length release for the North Carolina rap artist feature tracks about addiction and rap culture.",7.6,2018
73,"Superorganism","Superorganism",2018-03-02,"This is the debut full-length release for the London-based eight-person indie pop collective.",8,2018
73,"Closer Apart","Okzharp",2018-07-06,"This is the debut full-length release for the collaboration between South African producer Okzharp and Die Antwoord's Manthe Ribane.",NA,2018
73,"Last Night All My Dreams Came True","Wild Beasts",2018-02-16,"The final release for the British rock band features 13 of its hit songs recorded live in studio over two days.",7.3,2018
73,"Minus","Daniel Blumberg",2018-05-04,"The debut full-length solo release under the real name of the former member of Yuck member was recorded live in five days with Billy Steiger, Tom Wheatley, and Jim White.",8.6,2018
73,"Lo Moon","Lo Moon",2018-02-23,"The debut full-length release for the Los Angeles-based indie pop trio of Crisanta Baker, Matt Lowell, and Sam Stewart was produced by Death Cab For Cutie's Chris Walla.",8,2018
73,"Art of Doubt","Metric",2018-09-21,"The seventh full-length release for the Canadian indie rock band was produced by Justin Meldal-Johnsen.",7.8,2018
73,"The Now Now","Gorillaz",2018-06-29,"The sixth full-length studio release for the Damon Albarn's animated band features guest appearances from George Benson, Jamie Principle and Snoop Dogg.",8,2018
73,"A Million and One","My Brightest Diamond",2018-11-23,"The fifth full-length release for the singer-songwriter Shara Nova was inspired by such artists as Carl Craig, Patti Smith, The White Stripes, and Stevie Wonder.",NA,2018
